질문,답변
편두통 후유증상 머리 숙일때 두통 질문 이차성 두통 질문,안녕하세요. 메디이즈입니다.  편두통은 머리를 숙이거나 몸의 위치 변화에 따라 발생할 수 있습니다. 편두통은 뇌의 신경전달물질인 세로토닌의 이상으로 발생하는 것으로 알려져 있습니다. 세로토닌은 뇌의 신경세포를 흥분시키는 역할을 하는데 편두통이 발생하면 세로토닌의 농도가 증가하면서 뇌의 신경세포가 과도하게 흥분합니다. 이로 인해 두통 어지럼증 구토 등의 증상이 나타날 수 있습니다. 머리를 숙이거나 몸의 위치 변화에 따라 편두통이 발생하는 이유는 세로토닌의 농도가 증가하면서 뇌의 신경세포가 과도하게 흥분하기 때문입니다. 편두통은 이차성 두통이 아닙니다. 이차성 두통은 뇌종양 뇌수막염 뇌출혈 등의 질환으로 인해 발생하는 두통을 말합니다. 편두통은 뇌의 신경전달물질인 세로토닌의 이상으로 발생하는 질환이기 때문에 이차성 두통이 아닙니다. 편두통은 난시가 주요 원인이 아닙니다. 편두통은 뇌의 신경전달물질인 세로토닌의 이상으로 발생하는 질환이기 때문에 난시가 주요 원인이 아닙니다. 편두통은 다양한 원인으로 발생할 수 있지만 가장 흔한 원인은 스트레스입니다. 편두통을 예방하기 위해서는 스트레스를 줄이고 충분한 수면을 취하며 규칙적인 운동을 하는 것이 좋습니다. 편두통이 발생하면 진통제를 복용하거나 냉찜질을 하는 것이 도움이 됩니다. 편두통이 자주 발생하거나 심한 경우에는 병원에서 치료를 받아야 합니다.
키스만 하면 임신 가능성있나요????,안녕하세요. 메디이즈입니다. 1. 네 정상생리적 반응입니다 2. 임신가능성은 없습니다 3. 이런경우도 임신은 불가합니다 임신은 정자와 난자가 만나야 가능합니다
경구피임약 피임 기간,안녕하세요. 메디이즈입니다. 꾸준히 약을 복용했다면 휴약기 동안도 피임 효과가 유지가 됩니다. 따라서 임신 가능성은 낮습니다. 답변이 도움이 되었기를 바랍니다.
구각염 키스,안녕하세요. 메디이즈입니다.  구각염이란 입술의 가장자리 양 끝 쪽에 발생되는 질환으로 다양한 원인이 있습니다.  환자분의 면역력과도 관련이 있고 침이 지속적으로 구각입술 가장자리에 노출이 되어도 발생할 수 있습니다.  따라서 그러한 행동을 자제해주시는 부분이 구각염의 발생 빈도를 낮추는 해결 방법이 될 수 있을 것 같습니다.  좋은 하루 보내세요.
선생님 추가 질문이 있습니다.,안녕하세요. 메디이즈입니다. 인공누액은 수시로 점안하시면 되고 레바케이 안약은 하루에 4번 점안하면 됩니다. 저는 편의상 아침먹고 점심먹고 저녁먹고 자기전에 점안하시라고 설명드리고 있습니다. 그리고 간혹 인공누액과 레바케이 안약의 점안 시간이 겹치는 경우에는 순서는 관계가 없고 하나 점안한 후 최소 3분 후에 점안하면 된다고 설명드리고 있습니다. 참고가 되셨으면 좋겠습니다. 감사합니다.
변의가 매우 약하고 잘 안 옵니다.,안녕하세요. 메디이즈입니다.  뇌출혈 이후 신경학적 변화로 변비가 생길수도 있습니다. 식이요법섬유질 수분섭취 및 규칙적인 운동으로 장운동을 촉진시키게 중요하겠습니다. 마그밀과 폴락스산은 성분은 다르지만..둘다 삼투성완화제로 비슷한 약효과를 가지고 있는데요. 혹시라도 약효과가 적다면 비사코딜장운동 촉진을 단기간 사용해보는 것도 생각해볼 수있겠네요.
귀 먹먹함과 두통,안녕하세요. 메디이즈입니다.  귀 먹먹함과 두통은 감기나 비염 등의 호흡기 질환으로 인해 발생할 수 있습니다. 호흡기 질환은 코막힘 목의 통증 기침 발열 등의 증상을 동반할 수 있습니다. 호흡기 질환은 대부분 자연적으로 치료되지만 증상이 심하거나 오래 지속되는 경우에는 병원에서 치료를 받아야 합니다. 타이레놀은 두통을 치료하는 데 도움이 될 수 있지만 귀 먹먹함과 두통을 유발하는 원인을 치료하지는 않습니다. 따라서 귀 먹먹함과 두통이 심하거나 오래 지속되는 경우에는 병원에서 진료를 받아보는 것이 좋습니다.
신경이 다친건가요 아니면 근육이 다친검지,안녕하세요. 메디이즈입니다.  시간이 지나면 금방 회복될 가능성이 많습니다.  순간적인 과한 전기자극등에 의해 주변조직의 과긴장등인 경우가 많습니다.  며칠동안 증상 지속된다면 병원 방문하셔서 상담 받아보시기 바랍니다.  감사합니다.
전기로 인해 생긴 통증 피부인지 근육문제인지,안녕하세요. 메디이즈입니다.  한 달 전 정전기 소리와 함께 손가락 통증이 생겼다면 피부 손상보다는 근육 손상이 더 확률이 높습니다. 정전기는 전기 충격을 일으키지만 피부 손상은 거의 없습니다. 하지만 정전기는 근육을 수축시킬 수 있고 이로 인해 통증이 발생할 수 있습니다. 따라서 손가락 통증이 가만히 있으면 안 아프고 날카로운 물체에 스칠 때만 아프다면 근육 손상이 더 확률이 높다고 볼 수 있습니다. 만약 통증이 심하거나 지속된다면 병원에 방문하여 진료를 받아보는 것이 좋습니다.
Hpv 바이러스에 대한 질문드립니다.,안녕하세요. 메디이즈입니다.  1. HPV 바이러스는 성관계를 통해서만 전염되는 바이러스입니다. 따라서 태어날 때부터 HPV 바이러스가 생길 수는 없습니다.  2. HPV 바이러스는 성관계를 통해서만 전염되는 바이러스입니다. 따라서 성관계를 하지 않았더라도 HPV 바이러스에 감염될 수 있습니다. 하지만 키스와 몽정은 성관계가 아니기 때문에 HPV 바이러스에 감염될 가능성은 매우 낮습니다.  HPV 바이러스는 성관계를 통해서만 전염되는 바이러스이지만 성관계를 하지 않았더라도 HPV 바이러스에 감염될 수 있습니다. 따라서 HPV 바이러스에 감염되지 않기 위해서는 성관계를 하지 않는 것이 가장 좋습니다. 하지만 성관계를 하는 경우에는 콘돔을 사용하는 것이 HPV 바이러스에 감염되는 것을 예방할 수 있습니다.  HPV 바이러스에 감염되면 자궁경부암 생식기 사마귀 음경암 등을 유발할 수 있습니다. 따라서 HPV 바이러스에 감염되지 않도록 예방하는 것이 중요합니다.
청소년 카페인 적정량을 지키면 계속 먹어도 되나요?,안녕하세요. 메디이즈입니다.  찾아보니 청소년은 체중 1kg당 카페인 2.5mg 정도가 권장되고 있습니다. 체중 60kg라면 150mg이 적정 허용량으로 보입니다.  안정용량에서 큰 문제가 되지는 않겠지만 매일 약으로 복용하는 것은 장기적으로 의존성과 부작용을 초래할 수 있습니다. 카페인 중독이나 면역력저하과도한 섭취시에는 가능의 가능성도 있으니 장기복용은 하지 않고.. 다른 자연적인 방법으로 각성을 유지하는 것이 좋겠습니다.
내과와 정신과 중 어느 쪽을 가야 할까요?,안녕하세요. 메디이즈입니다.  흉통은 다양한 원인으로 발생할 수 있습니다. 심장 질환 폐 질환 근골격계 질환 위장 질환 등이 흉통을 유발할 수 있습니다. 또한 심리적인 문제로 인해 흉통이 발생할 수도 있습니다. 따라서 흉통이 발생하면 먼저 내과에서 진료를 받아보는 것이 좋습니다. 내과에서 심장 폐 근골격계 위장 등의 질환을 확인하고 흉통의 원인을 파악할 수 있습니다. 만약 내과에서 흉통의 원인을 찾지 못하면 정신과에서 진료를 받아보는 것이 좋습니다. 정신과에서는 심리적인 문제로 인해 흉통이 발생했는지 확인하고 적절한 치료를 받을 수 있습니다. 흉통이 심하거나 흉통으로 인해 일상생활에 지장을 받고 있다면 병원에서 진료를 받아보는 것이 좋습니다.
부비동염 후 점점 심해지는 기침,안녕하세요. 메디이즈입니다. 호흡기 감염이후에 기침이 심해졌다가 좋아졌다가 하면서 잘 좋아지지 않으면 기관지 알러지 가능성도 고려해 보양 합니다
다낭성 피임약 복용 10개월중 중단 괜찮을까요?,안녕하세요. 메디이즈입니다.  다낭성 난소 증후군PCOS을 관리하기 위해 피임약을 복용 중인 상황에서 피임약을 끊거나 중단하는 것은 주의가 필요합니다. 특히 일정한 패턴으로 복용하는 것이 중요합니다. 현재 상황을 종합적으로 고려하여 다음과 같은 조언을 드릴 수 있습니다  1. 피임약 중단의 영향 피임약을 중단하면 호르몬 수치가 변동할 수 있고 생리 주기가 다시 불규칙해질 수 있습니다. PCOS 환자의 경우 피임약 중단은 증상 악화나 불규칙한 생리로 이어질 수 있습니다.  2. 생리 미루기와 추가 복용 피임약을 추가로 며칠 더 복용해서 생리를 미루는 것은 일반적인 방법입니다. 그러나 이번 달 마지막 피임약을 다 복용한 상태에서 며칠 동안 중단해야 하는 상황이라면 이는 호르몬 균형에 영향을 미칠 수 있습니다.  3. 다음 주 피임약 구매 화요일21일에 피임약을 구매할 수 있다면 지금 복용을 중단하지 않고 화요일까지 새로운 피임약을 구해 계속 복용하는 것이 좋습니다. 이렇게 하면 호르몬 수치의 큰 변동을 막을 수 있습니다.  4. 의사의 조언 현지에서 의사 방문이 어려운 상황이라면 전화나 온라인 상담을 통해 의사의 조언을 받는 것도 고려해보세요. 의사는 현재 상황에 맞는 가장 적절한 조치를 안내할 수 있습니다.  요약하자면 이번 달 복용을 끊지 않고 화요일에 피임약을 구해 계속 복용하는 것이 좋습니다. 그래야 호르몬 균형이 유지되고 생리 주기가 안정적으로 유지될 수 있습니다.
심근효소랑 미주신경성 실신이랑 관련이 있나요?,안녕하세요. 메디이즈입니다.  미주신경? 심전도?  연령대로 보아 해당검사를 일상적으로 하지는 않을 듯한데 다른 이유나 임상소견 과거력 병력이나 가족력이 있는건 아닌가를 체크해 보아야할 듯합니다  일시적으로 쓰러지거나 앉았다 일어나면 어지럽고 눈앞이 깜깜해지는 등은 저혈압에 의한 경우가 대부분이고는 합니다. 미주신경자극도 저혈압을 초래할 수 있는 한 조건이 될 수 있습니다  평소 본인의 자세 체형 체중 운동 등을 체크해봐야할 것입니다
성기 곤지름인가요?,안녕하세요. 메디이즈입니다.  말씀만으로는 정확한 답변을 드리기 어려우나  단순 모낭 가능성이 높습니다 하지만 확인차 비뇨의학과를 방문하셔서 진료를 받아보세요  답변이 되었는지 모르겠네요 더 궁금하신 것이 있으시면 질문주세요 성심성의껏 답변드리겠습니다  감사합니다.
미주신경성 실신 했으면 관리가 필요한가요?,안녕하세요. 메디이즈입니다.  미주신경성 실신은 심장과 뇌를 연결하는 미주신경의 이상으로 인해 발생하는 질환입니다. 미주신경은 심장의 박동수를 조절하는 역할을 하는데 미주신경이 과도하게 활성화되면 심장 박동수가 급격히 떨어지면서 실신할 수 있습니다. 미주신경성 실신은 심장 질환이 아니므로 심장초음파나 피검사를 해도 이상이 없을 수 있습니다. 하지만 미주신경성 실신은 심각한 부상을 입을 수 있는 질환이므로 반드시 심장쪽 검사를 받고 관리를 받아야 합니다. 미주신경성 실신은 심장 박동수가 급격히 떨어지면서 발생하기 때문에 심장 박동수를 안정적으로 유지하는 약물을 복용하거나 심장 박동수를 안정적으로 유지하는 생활습관을 가지는 것이 도움이 됩니다. 또한 미주신경성 실신은 스트레스를 받으면 발생할 가능성이 높기 때문에 스트레스를 관리하는 것도 도움이 됩니다.
미주신경성 실신 했으면 관리가 필요한가요?,안녕하세요. 메디이즈입니다.  미주신경성 실신은 심장과 뇌를 연결하는 미주신경의 이상으로 인해 발생하는 질환입니다. 미주신경은 심장의 박동수를 조절하는 역할을 하는데 미주신경이 과도하게 활성화되면 심장 박동수가 급격히 떨어지면서 실신할 수 있습니다. 미주신경성 실신은 심장 질환이 아니므로 심장초음파나 피검사를 해도 이상이 없을 수 있습니다. 하지만 미주신경성 실신은 심각한 부상을 입을 수 있는 질환이므로 반드시 심장쪽 검사를 받고 관리를 받아야 합니다. 미주신경성 실신은 심장 박동수가 급격히 떨어지면서 발생하기 때문에 심장 박동수를 안정적으로 유지하는 약물을 복용하거나 심장 박동수를 안정적으로 유지하는 생활습관을 가지는 것이 도움이 됩니다. 또한 미주신경성 실신은 스트레스를 받으면 발생할 가능성이 높기 때문에 스트레스를 관리하는 것도 도움이 됩니다.
